kepid,file,sha256,quarter,raw_rows,accepted_rows,start_bkjd,end_bkjd,cadence_min,bjdrefi,timesys,creator,data_rel,crowdsap,flfrcsap,astropy_reader_agrees
9944201,data\cache\real_kepler\kplr009944201-2009166043257_llc.fits,c9fa70d4f1cf4c4228169d5a308f1092497160783f59b6062f6497c1b45ee259,1,1639,1401,131.51233490297454,164.9835999657953,29.425322939059697,2454833,TDB,796054 FluxExporter2PipelineModule,25,1.0,0.8001,True
9944201,data\cache\real_kepler\kplr009944201-2009259160929_llc.fits,f78c4661f100d47c73ea8b3bc0f67234eeeca3d6fee0384245b8386c93a807e6,2,4354,3696,169.7856240735855,258.4672867722402,29.424383668228984,2454833,TDB,823109 FluxExporter2PipelineModule,25,1.0,0.8061,True
9944201,data\cache\real_kepler\kplr009944201-2009350155506_llc.fits,a8cfa50d1a7dca98bc8fc601431c4af79afa69541ef9a5a3c2cb7e269a00723e,3,4370,3861,260.2449693673989,349.4958462998402,29.423384472029284,2454833,TDB,825052 FluxExporter2PipelineModule,25,1.0,0.8502,True
5475431,data\cache\real_kepler\kplr005475431-2009166043257_llc.fits,de0738f631fc4936b8786258fe53fe375769e413edf86259d8eaa09bb4f1e220,1,1639,1427,131.51200479918043,164.9837489033671,29.42574388347566,2454833,TDB,796468 FluxExporter2PipelineModule,25,0.9878,0.7868,True
5475431,data\cache\real_kepler\kplr005475431-2009259160929_llc.fits,fab4a39deae371da883b30a4cb6611fad29a3c3ff589d0c98e7437c06b462ca2,2,4354,3613,169.7653857045225,258.4681654816086,29.424698990187608,2454833,TDB,823965 FluxExporter2PipelineModule,25,0.9782,0.8443,True
5475431,data\cache\real_kepler\kplr005475431-2009350155506_llc.fits,8812d4493889d87cceef666dfb48920c1bdc409b15a03f0523e416ef5b895060,3,4370,3860,260.2867030260313,349.495719792998,29.423023452982306,2454833,TDB,826739 FluxExporter2PipelineModule,25,0.97,0.7867,True
8616873,data\cache\real_kepler\kplr008616873-2009166043257_llc.fits,6ff1cc9bbeb59ad6826754cf50473f009d75e4eaf6af141441fd90b5b507a876,1,1639,1439,131.5124547399755,164.9837941488804,29.42537532595452,2454833,TDB,796214 FluxExporter2PipelineModule,25,0.994,0.7836,True
8616873,data\cache\real_kepler\kplr008616873-2009259160929_llc.fits,b5efa7ea587965fdedd21282cf6dadef112d78346d2071cc7062a47ccecbea1c,2,4354,1434,169.7653692017193,258.4673816009017,29.424636298790574,2454833,TDB,823441 FluxExporter2PipelineModule,25,0.998,0.7009,True
8616873,data\cache\real_kepler\kplr008616873-2009350155506_llc.fits,d946d11fc9d41f2a924165dbee0fdf5caf30393dd2d94be8b0b4d1e5f6a8519b,3,4370,3928,260.2450517680263,349.4956647053259,29.423293601721525,2454833,TDB,825708 FluxExporter2PipelineModule,25,0.9915,0.6777,True
9574614,data\cache\real_kepler\kplr009574614-2009166043257_llc.fits,6720a5a87a65d4a0fb43b4db067ceaedbaa722aee09b807b2ab73d8e35bad934,1,1639,1454,131.51260151466704,164.9837825718423,29.425237270770594,2454833,TDB,796082 FluxExporter2PipelineModule,25,1.0,0.8648,True
9574614,data\cache\real_kepler\kplr009574614-2009259160929_llc.fits,79e38a7fc69090e1ddb69795f530295084fb147a5975caa96d29677c26bc13a8,2,4354,3741,169.7653129104874,258.4670774244296,29.424262879765593,2454833,TDB,823168 FluxExporter2PipelineModule,25,1.0,0.8957,True
9574614,data\cache\real_kepler\kplr009574614-2009350155506_llc.fits,2e338c2e0fbee7cc740681ebba63488d361e924ae08dd4f0cd7ea71f6934d849,3,4370,3964,260.24474108044524,349.49566992701875,29.423383874818683,2454833,TDB,825168 FluxExporter2PipelineModule,25,1.0,0.6653,True
7811211,data\cache\real_kepler\kplr007811211-2009166043257_llc.fits,c5541ebced18bd4e8ed5b7f370800107817446b456513286ccf4172d29dd67c4,1,1639,1404,131.5125841862464,164.98392798738496,29.425388647941872,2454833,TDB,796236 FluxExporter2PipelineModule,25,0.9996,0.8926,True
7811211,data\cache\real_kepler\kplr007811211-2009259160929_llc.fits,5425148769e446d5a5140dd91b78bc4a48dfd4c77ee68245da1d7958fb49d3fb,2,4354,3631,169.78592721628956,258.46734411027865,29.42433697578963,2454833,TDB,823484 FluxExporter2PipelineModule,25,1.0,0.9062,True
7811211,data\cache\real_kepler\kplr007811211-2009350155506_llc.fits,4133fdb78b3db1f0d0885e0cf3bc2201533ddb734003fd48faf3d9e8b029fe6d,3,4370,3892,260.24503178184386,349.4955390852774,29.423259319737554,2454833,TDB,825796 FluxExporter2PipelineModule,25,1.0,0.7955,True
9084778,data\cache\real_kepler\kplr009084778-2009166043257_llc.fits,08a9a4237188081dff6bd040c826af40f8f28edaa67deb18407e37e3c734ad30,1,1639,1483,131.51231509595527,164.98367414726818,29.42539209499955,2454833,TDB,796222 FluxExporter2PipelineModule,25,0.9958,0.5958,True
9084778,data\cache\real_kepler\kplr009084778-2009259160929_llc.fits,b14aaa305766118038a200d3c0917a9e95b338eb88f4ba529c3f3d5f90363f55,2,4354,3778,169.7652550828061,258.46744593503536,29.42441081511788,2454833,TDB,823456 FluxExporter2PipelineModule,25,0.99,0.7474,True
9084778,data\cache\real_kepler\kplr009084778-2009350155506_llc.fits,99b7e0a6515aeb9b7250587d935b90773287fbe14eec6578d68895d564eea8ba,3,4370,3872,260.24511961464304,349.495778432909,29.4233159290161,2454833,TDB,825740 FluxExporter2PipelineModule,25,0.9918,0.7696,True
12307496,data\cache\real_kepler\kplr012307496-2009166043257_llc.fits,c701ef321cc23217e582557600326f5e13e4b1670800f30823c02dc17dba1a28,1,1639,1374,131.5119523870817,164.98315142698993,29.425267445622012,2454833,TDB,795921 FluxExporter2PipelineModule,25,0.9925,0.894,True
